jurisdiction,year_month,offender_profiles,arrestee,forensic_profiles,investigations_aided,ndis_labs
Alabama,2001-07-01,0,NA,0,88,4
Alabama,2001-08-01,0,NA,0,88,4
Alabama,2001-09-01,0,NA,0,88,4
Alabama,2001-11-01,0,NA,0,88,4
Alabama,2002-06-01,0,NA,0,126,4
Alabama,2002-10-01,0,NA,0,126,4
Alabama,2003-06-01,2507,NA,22,299,4
Alabama,2003-12-01,3105,NA,23,299,4
Alabama,2004-02-01,9231,NA,24,299,4
Alabama,2004-04-01,16656,NA,NA,434,4
Alabama,2004-06-01,19161,NA,36,434,4
Alabama,2004-07-01,19161,NA,36,434,4
Alabama,2004-08-01,20304,NA,90,434,4
Alabama,2004-09-01,NA,NA,241,434,4
Alabama,2004-10-01,NA,NA,241,434,4
Alabama,2004-11-01,NA,NA,241,434,4
Alabama,2004-12-01,20294,NA,241,434,4
Alabama,2005-01-01,31542,NA,676,434,4
Alabama,2005-02-01,31542,NA,676,434,4
Alabama,2005-03-01,31542,NA,676,434,4
Alabama,2005-04-01,37561,NA,850,434,4
Alabama,2005-05-01,43419,NA,1024,434,4
Alabama,2005-06-01,51010,NA,1139,434,4
Alabama,2005-07-01,53536,NA,1185,434,4
Alabama,2005-08-01,61166,NA,1215,434,4
Alabama,2005-09-01,72856,NA,1248,434,4
Alabama,2005-10-01,78613,NA,1372,434,4
Alabama,2005-11-01,78613,NA,1372,434,4
Alabama,2005-12-01,84188,NA,1376,1038,4
Alabama,2006-01-01,84188,NA,1376,1038,4
Alabama,2006-02-01,99387,NA,1590,1038,4
Alabama,2006-03-01,109858,NA,1768,1038,4
Alabama,2006-04-01,109858,NA,1768,1038,4
Alabama,2006-05-01,109940,NA,1792,1038,4
Alabama,2006-06-01,110237,NA,1840,1038,4
Alabama,2006-07-01,110237,NA,1840,1197,4
Alabama,2006-08-01,110237,NA,1840,1197,4
Alabama,2006-09-01,114400,NA,1971,1197,4
Alabama,2006-10-01,120701,NA,2162,1197,4
Alabama,2006-11-01,120701,NA,2162,1282,4
Alabama,2006-12-01,123566,NA,2217,1319,4
Alabama,2007-01-01,123566,NA,2217,1319,4
Alabama,2007-02-01,128065,NA,2336,1392,4
Alabama,2007-03-01,131948,NA,2488,1427,4
Alabama,2007-04-01,135634,NA,2528,1505,4
Alabama,2007-05-01,138925,NA,2633,1565,4
Alabama,2007-06-01,138925,NA,2633,1594,4
Alabama,2007-07-01,144481,NA,2800,1633,4
Alabama,2007-08-01,144481,NA,2800,1633,4
Alabama,2007-09-01,146118,NA,2907,1751,4
Alabama,2007-10-01,147576,NA,3055,1784,4
