"metric","jurisdiction","date","value","previous_value","next_value","flag_decrease","flag_spike","flag_dip","flag_magnitude","flag_any","time_gap","anomaly_type"
"Offender Profiles","Alabama",2004-09-01,20294,20304,20294,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alabama",2008-07-01,157187,157932,160283,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alabama",2009-08-01,157187,172893,175965,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alabama",2010-08-01,183916,183963,186738,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alabama",2014-10-01,22192,221505,222930,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Dip"
"Offender Profiles","Alaska",2006-06-01,9593,10030,10284,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alaska",2006-08-01,10239,10284,10571,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alaska",2008-05-01,10954,10965,11593,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alaska",2008-07-01,10954,11593,11919,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alaska",2009-08-01,10954,16685,16887,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Alaska",2020-03-01,24839,24840,24904,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Arizona",2008-07-01,125692,126980,132686,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Arizona",2009-08-01,125692,171178,173236,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Arkansas",2008-07-01,87913,88996,90540,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Arkansas",2009-08-01,87913,99023,101781,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","California",2008-07-01,996539,1008926,1032197,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","California",2009-08-01,996539,1173435,1229781,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
"Offender Profiles","Colorado",2008-07-01,84366,86101,89700,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Decrease"
